"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-04-30,"Brightmoor","MI","Detroit","Wayne","Detroit",1191,753,-0.00659630606860158,0.00938337801608579,0.0134589502018843,8074
2014-04-30,"Old Town","IL","Chicago","Cook","Chicago",1192,2115,0.00810295519542421,0.0779816513761468,0.134656652360515,5118
2014-04-30,"Upper Baseline","AR","Little Rock","Pulaski","Little Rock",1193,713,0.00564174894217207,0.0113475177304965,-0.0442359249329759,2239
2014-04-30,"Leimert Park","CA","Los Angeles","Los Angeles","Los Angeles",1194,2256,0.00400534045393859,0.0194306371441482,0.0148448043184885,2377
2014-04-30,"Murray Hill","NY","New York","New York","New York",1195,3656,0.0152735351291308,0.0481651376146789,0.0380465644520159,1468
2014-04-30,"Northwest Crossing","TX","San Antonio","Bexar","San Antonio",1196,1155,0.00260416666666667,0.00697471665213601,0.0294117647058823,3769
2014-04-30,"North East","CT","Hartford","Hartford","Hartford",1197,1266,-0.0031496062992126,0.00796178343949045,0.0234438156831043,673
2014-04-30,"Normal Heights","CA","San Diego","San Diego","San Diego",1198,1618,0.0125156445556946,0.0486066104990279,0.0616797900262467,1480
2014-04-30,"Glendale - Heather Downs","OH","Toledo","Lucas","Toledo",1199,909,0.00110132158590308,0.0033112582781457,0.0111234705228031,3648
2014-04-30,"South Collinwood","OH","Cleveland","Cuyahoga","Cleveland",1200,853,0.019115890083632,0.06625,0.079746835443038,2132
2014-04-30,"Crestview","CA","Los Angeles","Los Angeles","Los Angeles",1201,2857,0.00669485553206483,-0.01004851004851,-0.00452961672473868,1054
2014-04-30,"Franklin Park","MI","Detroit","Wayne","Detroit",1202,745,-0.00134048257372654,0.0108548168249661,0.0205479452054795,3961
2014-04-30,"West 7th","MN","Minneapolis-St Paul","Ramsey","Saint Paul",1203,1346,0,0.0105105105105105,0.049103663289166,2971
2014-04-30,"Forest Hills","OH","Cleveland","Cuyahoga","Cleveland",1204,833,0.0233415233415233,0.0946123521681997,0.107712765957447,2105
2014-04-30,"Kashmere Gardens","TX","Houston","Harris","Houston",1205,1084,0.0130841121495327,0.0323809523809524,0.149522799575822,2801
2014-04-30,"La Sierra Acres","CA","Riverside","Riverside","Riverside",1206,1580,0.00126742712294043,0.000633312222925902,0.0193548387096774,2104
2014-04-30,"North Side","TX","Dallas-Fort Worth","Tarrant","Fort Worth",1207,898,0.00785634118967452,0.00447427293064877,0.078031212484994,2410
2014-04-30,"Rosemont","TX","Dallas-Fort Worth","Tarrant","Fort Worth",1208,871,0.00810185185185185,-0.00684150513112885,0.0583232077764277,2455
2014-04-30,"Brighton","NY","Syracuse","Onondaga","Syracuse",1209,977,-0.0111336032388664,0.0426894343649947,-0.0650717703349282,1814
2014-04-30,"Garrison Park","TX","Austin","Travis","Austin",1210,1587,0.00570342205323194,0.0186136071887035,0.0795918367346939,983
2014-04-30,"North Oakland","PA","Pittsburgh","Allegheny","Pittsburgh",1211,1722,-0.00863557858376511,-0.0097757331799885,0.0029120559114735,848
2014-04-30,"Pico-Lowell","CA","Los Angeles","Orange","Santa Ana",1212,2070,-0.00144717800289436,-0.00192864030858245,0.037593984962406,831
2014-04-30,"Outer Mission","CA","San Francisco","San Francisco","San Francisco",1213,2993,0.0132024373730535,0.0531315974665728,0.0557319223985891,2226
2014-04-30,"Heron Walk","TN","Nashville","Davidson","Nashville",1214,1054,-0.000947867298578199,-0.000947867298578199,0.0466732869910626,2604
2014-04-30,"Pittman","NV","Las Vegas","Clark","Henderson",1215,1038,0.00678952473326867,0.0176470588235294,0.039039039039039,3202
2014-04-30,"Ocean Crest","CA","San Diego","San Diego","San Diego",1216,2410,-0.00124326564442603,0.00416666666666667,0.0312366281557552,2745
2014-04-30,"Rossville","NY","New York","Richmond","New York",1217,2148,0.0272596843615495,0.0544918998527246,-0.0495575221238938,2154
2014-04-30,"North Panhandle","CA","San Francisco","San Francisco","San Francisco",1218,4063,0.0074386312918423,0.0431322207958922,0.05505063619839,1027
2014-04-30,"Haight-Ashbury","CA","San Francisco","San Francisco","San Francisco",1219,4229,0.00978987583572111,0.0398328005901156,0.0287034784723911,1028
2014-04-30,"Cypress Park","CA","Los Angeles","Los Angeles","Los Angeles",1220,1982,0.00101010101010101,-0.000504286434694907,0.0339071465832029,813
2014-04-30,"Six Forks","NC","Raleigh","Wake","Raleigh",1221,1591,-0.00500312695434647,-0.00250783699059561,0.00441919191919192,3607
2014-04-30,"East Forest Park","MA","Springfield","Hampden","Springfield",1222,1197,-0.0228571428571429,-0.0393258426966292,-0.0633802816901408,4001
2014-04-30,"Fairview","CA","San Francisco","Alameda","Hayward",1223,2301,0.00568181818181818,0.0249443207126949,0.0722273998136067,3372
2014-04-30,"Eagle River Valley","AK","Anchorage","Anchorage","Anchorage",1224,2146,-0.0106039649608114,-0.0457981325033348,-0.0612423447069116,3757
2014-04-30,"Mission Terrace","CA","San Francisco","San Francisco","San Francisco",1225,3107,0.00942170240415854,0.0578821927136534,0.0542925008483203,2289
2014-04-30,"Lackland Terrace","TX","San Antonio","Bexar","San Antonio",1226,912,0.00551267916207277,0.00773480662983425,0.0422857142857143,2222
2014-04-30,"Arlington","CA","Riverside","Riverside","Riverside",1227,1429,-0.00832755031228314,-0.0232399179767601,0.00351123595505618,1950
2014-04-30,"Terrace","CA","Riverside","San Bernardino","San Bernardino",1228,1359,0.0029520295202952,0.0141791044776119,0.0287660862982589,1313
2014-04-30,"Mount Pleasant","RI","Providence","Providence","Providence",1229,1308,0.015527950310559,0.0234741784037559,0.00229885057471264,1561
